#
# Ground-based BVRcIc photometry of Kepler Cepheid
# V1154 Cygni and Cepheid candidates
#
# SRO: Sonoita Research Obs.  LOT: Lulin One-meter Telescope 
# SLT: SLT, lulin Obs.        TNG: Tenagra Obs.
#
# KIC ID      HJD            magnitude  mag_err  Filter   Observatory
#
06437385   2455299.3291         12.347  0.003   B  SLT
06437385   2455299.2866         12.351  0.005   B  SLT
06437385   2455300.2852         12.358  0.006   B  SLT
06437385   2455312.2082         12.352  0.006   B  SLT
06437385   2455317.1845         12.309  0.004   B  SLT
06437385   2455329.2552         12.304  0.003   B  SLT
06437385   2455330.1913         12.297  0.003   B  SLT
06437385   2455333.3255         12.301  0.003   B  SLT
06437385   2455388.3200         12.308  0.004   B  SLT
06437385   2455390.2391         12.312  0.003   B  SLT
06437385   2455392.2888         12.323  0.003   B  SLT
06437385   2455393.2903         12.351  0.003   B  SLT
