#   2MASS JHK light curves for RR Lyrae star SDSSJ015450+001501 (2969 epochs) 
#   For details, see Szabo et al. (2013) 
#   sourceID     ra        dec        mjd_bjd      J     Jerr Jq    H     Herr Hq    K     Kerr Kq
    16701824 28.708989  0.250388  50762.2937404 14.527  0.032  A 14.335  0.051  A 14.245  0.062  A
    16704908 28.708997  0.250386  50762.2954404 14.479  0.032  A 14.245  0.047  A 14.201  0.054  A
    16705009 28.709008  0.250370  50762.2958403 14.489  0.030  A 14.216  0.039  A 14.228  0.063  A
    19063544 28.709032  0.250409  50767.1167441 14.281  0.038  A 13.991  0.056  A 13.844  0.066  A
    19063666 28.708976  0.250413  50767.1171440 14.238  0.032  A 13.960  0.049  A 13.894  0.062  A
    19066627 28.709018  0.250403  50767.1188440 14.294  0.033  A 13.996  0.052  A 13.957  0.064  A
    19066730 28.708969  0.250358  50767.1192439 14.269  0.036  A 13.959  0.048  A 13.854  0.063  A
    19069694 28.709001  0.250361  50767.1210439 14.310  0.034  A 13.964  0.045  A 13.857  0.052  A
    19069791 28.709002  0.250382  50767.1213439 14.253  0.029  A 13.949  0.047  A 13.893  0.057  A
    19084301 28.709001  0.250403  50767.2151397 14.337  0.030  A 14.134  0.043  A 13.999  0.055  A
    19084411 28.709004  0.250376  50767.2155397 14.316  0.031  A 14.037  0.040  A 14.001  0.041  A
    19087533 28.709003  0.250376  50767.2172396 14.327  0.031  A 14.076  0.038  A 14.033  0.048  A
    19087593 28.708982  0.250369  50767.2176396 14.378  0.026  A 14.102  0.039  A 14.015  0.047  A
    19090800 28.708994  0.250382  50767.2193395 14.368  0.031  A 14.046  0.047  A 14.016  0.047  A
